t,ue,rate_bps
0.1,0,823000
0.1,1,402174
0.1,2,1.43349e+07
0.1,3,9.1089e+07
0.1,4,5.1591e+06
0.1,5,1.63048e+06
0.1,6,1.65806e+07
0.1,7,148115
0.1,8,7.51468e+07
0.1,9,1.40063e+06
0.1,10,1.06918e+07
0.1,11,2.64548e+06
0.1,12,9.16832e+06
0.1,13,7.70834e+07
0.1,14,1.01693e+07
0.1,15,4.46409e+06
0.1,16,1.0602e+08
0.1,17,72730.8
0.1,18,1.4403e+08
0.1,19,5.34312e+06
0.1,20,2.44044e+06
0.1,21,1.69334e+06
0.1,22,7.419e+06
0.1,23,2.14775e+07
0.1,24,1.20128e+08
0.1,25,2.37092e+07
0.1,26,1.93003e+07
0.1,27,1.11801e+06
0.1,28,2.40666e+07
0.1,29,908945
0.2,0,191619
0.2,1,26228.4
0.2,2,2.39052e+06
0.2,3,1.53097e+07
0.2,4,1.5932e+07
0.2,5,292665
0.2,6,389515
0.2,7,3.14464e+06
0.2,8,9.69877e+07
0.2,9,92588.6
0.2,10,1.4312e+07
0.2,11,556375
0.2,12,6.46303e+07
0.2,13,505156
0.2,14,1.24226e+07
0.2,15,2.52109e+07
0.2,16,1.1745e+08
0.2,17,1.3762e+07
0.2,18,3.99068e+07
0.2,19,5.52269e+07
0.2,20,18981.6
0.2,21,1.48186e+06
0.2,22,3.11935e+07
0.2,23,2.50271e+07
0.2,24,2.03032e+07
0.2,25,6.92069e+06
0.2,26,1.62534e+07
0.2,27,3.06248e+07
0.2,28,1.25736e+07
0.2,29,3.3853e+06
0.3,0,2.34778e+06
0.3,1,4.96045e+07
0.3,2,1.53756e+07
0.3,3,4.23853e+06
0.3,4,1.76539e+07
0.3,5,2.63162e+06
0.3,6,6.57164e+07
0.3,7,5.19459e+07
0.3,8,1.68338e+08
0.3,9,593893
0.3,10,3.64983e+06
0.3,11,10942.5
0.3,12,3.98226e+07
0.3,13,2.14754e+07
0.3,14,2.51118e+07
0.3,15,3.59295e+06
0.3,16,1.73664e+07
0.3,17,377133
0.3,18,3.9961e+07
0.3,19,9.79921e+06
0.3,20,2.87557e+06
0.3,21,1.39564e+06
0.3,22,353638
0.3,23,1.52032e+07
0.3,24,9.98967e+07
0.3,25,2.41041e+07
0.3,26,861697
0.3,27,3157.41
0.3,28,7.93503e+06
0.3,29,2.8712e+06
0.4,0,5692.47
0.4,1,1.53173e+08
0.4,2,2.66057e+06
0.4,3,6.47491e+06
0.4,4,2.40687e+07
0.4,5,4.10722e+07
0.4,6,4.65935e+06
0.4,7,120859
0.4,8,8.89288e+07
0.4,9,449445
0.4,10,246603
0.4,11,3.99918e+06
0.4,12,5.93426e+07
0.4,13,328450
0.4,14,183600
0.4,15,4.88864e+06
0.4,16,8.86764e+07
0.4,17,904190
0.4,18,6.03148e+06
0.4,19,6.29265e+07
0.4,20,211727
0.4,21,4.56557e+07
0.4,22,9.88774e+06
0.4,23,2.70324e+07
0.4,24,1.30141e+08
0.4,25,463653
0.4,26,3.46812e+07
0.4,27,3.47641e+06
0.4,28,3.49181e+07
0.4,29,1.04514e+07
0.5,0,8.58643e+06
0.5,1,830852
0.5,2,1.10855e+07
0.5,3,9.31085e+06
0.5,4,6.70685e+06
0.5,5,1811.1
0.5,6,3.21384e+06
0.5,7,1.81004e+07
0.5,8,1.65374e+08
0.5,9,1.03462e+07
0.5,10,100717
0.5,11,5.42948e+07
0.5,12,4.94822e+06
0.5,13,4.89019e+07
0.5,14,1.99329e+07
0.5,15,678171
0.5,16,3.08734e+06
0.5,17,32079.6
0.5,18,1.47269e+07
0.5,19,2.11056e+07
0.5,20,1.54902e+06
0.5,21,2.72692e+07
0.5,22,2.76288e+06
0.5,23,3.91498e+06
0.5,24,9.42619e+07
0.5,25,808707
0.5,26,3.37134e+06
0.5,27,879494
0.5,28,3.46264e+07
0.5,29,1.2179e+07
0.6,0,192254
0.6,1,1.44513e+06
0.6,2,2.94691e+06
0.6,3,3.52353e+06
0.6,4,2.86072e+06
0.6,5,1.01986e+07
0.6,6,2.35449e+07
0.6,7,2.07606e+06
0.6,8,4.16563e+07
0.6,9,327092
0.6,10,1.17412e+06
0.6,11,1.3767e+07
0.6,12,5.91938e+06
0.6,13,1.02133e+08
0.6,14,4.68379e+07
0.6,15,2.14813e+06
0.6,16,8.43121e+07
0.6,17,14709.8
0.6,18,2.73974e+07
0.6,19,9.15542e+07
0.6,20,34785.9
0.6,21,1.15875e+06
0.6,22,2.08283e+06
0.6,23,8.59473e+07
0.6,24,6.5326e+07
0.6,25,2.93123e+07
0.6,26,1.33246e+08
0.6,27,890856
0.6,28,1.8116e+07
0.6,29,4.376e+06
0.7,0,203669
0.7,1,117097
0.7,2,7.05813e+07
0.7,3,3.00164e+06
0.7,4,2.10569e+07
0.7,5,1.71487e+06
0.7,6,2.15031e+07
0.7,7,3.21022e+06
0.7,8,2.04502e+08
0.7,9,36946.7
0.7,10,381836
0.7,11,403122
0.7,12,4.55419e+07
0.7,13,40631.9
0.7,14,1.9518e+07
0.7,15,3.2516e+06
0.7,16,1.09262e+08
0.7,17,20295.4
0.7,18,9.91174e+06
0.7,19,4.33941e+06
0.7,20,1.63307e+06
0.7,21,1.6237e+07
0.7,22,1.74549e+06
0.7,23,1.47587e+08
0.7,24,5.75741e+06
0.7,25,1.51251e+07
0.7,26,139839
