time_s,ue_id,tx_bytes,rx_bytes
0.813591,10,0,0
0.818514,6,0,0
0.825309,16,0,0
0.827873,23,0,0
0.836113,20,0,0
0.838996,7,0,0
0.839746,18,0,0
0.86422,14,0,0
0.865723,8,0,0
0.866705,5,0,0
0.876583,17,0,0
0.885899,11,0,0
0.890288,13,0,0
0.896174,9,0,0
0.899276,22,0,0
0.903315,19,0,0
0.906023,15,0,0
0.909482,21,0,0
0.918062,24,0,0
0.929543,12,0,0
1.04884,21,0,0
1.34222,7,0,0
1.43253,12,0,0
1.47265,7,0,0
1.65431,13,0,0
1.72102,24,0,0
1.72314,7,0,0
1.8547,22,0,0
2.06869,5,0,0
2.16392,9,0,0
2.343,10,0,0
2.49588,6,0,0
2.56564,13,0,0
2.61248,7,0,0
2.63949,5,0,0
2.64417,23,0,0
2.73041,19,0,0
2.73738,18,0,0
2.91425,18,0,0
3.00918,21,0,0
3.01843,14,0,0
3.45768,19,0,0
3.56571,7,0,0
3.63474,8,0,0
3.72184,20,0,0
3.7631,23,0,0
3.84541,18,0,0
3.9258,21,0,0
3.92714,13,0,0
3.95785,11,0,0
3.99471,19,0,0
4.09464,10,0,0
4.18043,16,0,0
4.4771,6,0,0
4.69982,10,0,0
4.75835,19,0,0
4.76519,8,0,0
4.81524,8,0,0
4.83742,17,0,0
4.84825,22,0,0
4.87352,24,0,0
4.93344,21,0,0
4.98828,8,0,0
5.03377,5,0,0
5.09936,12,0,0
5.12868,19,0,0
5.20578,9,0,0
5.23492,14,0,0
5.28024,19,0,0
5.37871,21,0,0
5.40912,23,0,0
5.43755,21,0,0
5.97368,20,0,0
5.9994,8,0,0
6.20252,21,0,0
6.23905,14,0,0
6.24861,8,0,0
6.32138,18,0,0
6.35923,21,0,0
6.42804,5,0,0
6.46457,18,0,0
6.55317,8,0,0
6.58465,9,0,0
6.5986,17,0,0
6.65943,22,0,0
6.73215,16,0,0
6.90052,19,0,0
7.03074,6,0,0
7.41378,17,0,0
7.45368,16,0,0
7.68752,9,0,0
7.7614,11,0,0
7.8032,24,0,0
8.08314,16,0,0
8.14563,6,0,0
8.29711,11,0,0
8.31555,7,0,0
8.32254,15,0,0
8.33417,9,0,0
8.35548,21,0,0
