time_s,ue_id,cpu_j,radio_j,total_j
0.813591,10,0.920387,0,0.920387
0.818514,6,0.927771,0,0.927771
0.825309,16,0.937963,0,0.937963
0.827873,23,0.941809,0,0.941809
0.836113,20,0.954169,0,0.954169
0.838996,7,2.93025,0,2.93025
0.839746,18,0.959619,0,0.959619
0.86422,14,0.996329,0,0.996329
0.865723,8,0.998585,0,0.998585
0.866705,5,1.00006,0,1.00006
0.876583,17,1.01487,0,1.01487
0.885899,11,1.02885,0,1.02885
0.890288,13,1.03543,0,1.03543
0.896174,9,1.04426,0,1.04426
0.899276,22,1.04891,0,1.04891
0.903315,19,1.05497,0,1.05497
0.906023,15,1.05903,0,1.05903
0.909482,21,2.11451,0,2.11451
0.918062,24,1.07709,0,1.07709
0.929543,12,2.00318,0,2.00318
1.04884,21,2.11451,0,2.11451
1.34222,7,3.99573,0,3.99573
1.43253,12,2.00318,0,2.00318
1.47265,7,3.99573,0,3.99573
1.65431,13,2.13344,0,2.13344
1.72102,24,2.09417,0,2.09417
1.72314,7,3.99573,0,3.99573
1.8547,22,1.95682,0,1.95682
2.06869,5,2.84324,0,2.84324
2.16392,9,2.01793,0,2.01793
2.343,10,1.83028,0,1.83028
2.49588,6,2.0142,0,2.0142
2.56564,13,3.08964,0,3.08964
2.61248,7,4.95556,0,4.95556
2.63949,5,2.84324,0,2.84324
2.64417,23,2.02881,0,2.02881
2.73041,19,2.06259,0,2.06259
2.73738,18,2.90382,0,2.90382
2.91425,18,2.90382,0,2.90382
3.00918,21,3.04513,0,3.04513
3.01843,14,1.93068,0,1.93068
3.45768,19,4.07318,0,4.07318
3.56571,7,6.00638,0,6.00638
3.63474,8,1.90918,0,1.90918
3.72184,20,1.98081,0,1.98081
3.7631,23,2.9843,0,2.9843
3.84541,18,3.98627,1.67772,5.66399
3.9258,21,4.13379,0,4.13379
3.92714,13,4.13324,0,4.13324
3.95785,11,2.11551,0,2.11551
3.99471,19,4.07318,0,4.07318
4.09464,10,3.90369,0,3.90369
4.18043,16,1.94078,0,1.94078
4.4771,6,2.94945,0,2.94945
4.69982,10,3.90369,0,3.90369
4.75835,19,7.09954,0,7.09954
4.76519,8,5.01517,0,5.01517
4.81524,8,5.01517,0,5.01517
4.83742,17,1.9781,0,1.9781
4.84825,22,3.03864,0,3.03864
