time_s,ue_id,tx_bytes,rx_bytes
0.818591,10,8000000,0
0.823514,6,8000000,0
0.830309,16,8000000,0
0.832873,23,8000000,0
0.841113,20,8000000,0
0.843996,7,24000000,0
0.844746,18,8000000,0
0.86922,14,8000000,0
0.870723,8,8000000,0
0.871705,5,8000000,0
0.881583,17,8000000,0
0.890899,11,8000000,0
0.895288,13,8000000,0
0.901174,9,8000000,0
0.904276,22,8000000,0
0.908315,19,8000000,0
0.911023,15,8000000,0
0.914482,21,16000000,0
0.923062,24,8000000,0
0.934543,12,16000000,0
1.05384,21,16000000,0
1.34722,7,32000000,0
1.43753,12,16000000,0
1.47765,7,32000000,0
1.65931,13,16000000,0
1.72602,24,16000000,0
1.72814,7,32000000,0
1.8597,22,16000000,0
2.07369,5,24000000,0
2.16892,9,16000000,0
2.348,10,16000000,0
2.50088,6,16000000,0
2.57064,13,24000000,0
2.61748,7,40000000,0
2.64449,5,24000000,0
2.64917,23,16000000,0
2.73541,19,16000000,0
2.74238,18,24000000,0
2.91925,18,24000000,0
3.01418,21,24000000,0
3.02343,14,16000000,0
3.46268,19,32000000,0
3.57071,7,48000000,0
3.63974,8,16000000,0
3.72684,20,16000000,0
3.7681,23,24000000,0
3.85041,18,40000000,0
3.9308,21,32000000,0
3.93214,13,32000000,0
3.96285,11,16000000,0
3.99971,19,32000000,0
4.09964,10,32000000,0
4.18543,16,16000000,0
4.4821,6,24000000,0
4.49689,18,40000000,0
4.70482,10,32000000,0
4.76335,19,56000000,0
4.77019,8,40000000,0
4.82024,8,40000000,0
4.84242,17,16000000,0
4.85325,22,24000000,0
4.87852,24,24000000,0
4.93844,21,56000000,0
4.99328,8,40000000,0
5.03877,5,32000000,0
5.10436,12,24000000,0
5.13368,19,56000000,0
5.21078,9,24000000,0
5.23992,14,24000000,0
5.28524,19,56000000,0
5.38371,21,56000000,0
5.41412,23,32000000,0
5.44255,21,56000000,0
5.97868,20,24000000,0
6.0044,8,64000000,0
6.20752,21,72000000,0
6.24405,14,32000000,0
6.25361,8,64000000,0
6.32638,18,56000000,0
6.36423,21,72000000,0
6.43304,5,40000000,0
6.46957,18,56000000,0
6.55817,8,64000000,0
6.58965,9,32000000,0
6.6036,17,24000000,0
6.66443,22,32000000,0
6.73715,16,24000000,0
6.90552,19,64000000,0
7.03574,6,32000000,0
7.41878,17,32000000,0
7.45868,16,40000000,0
7.69252,9,40000000,0
7.7664,11,32000000,0
7.8082,24,32000000,0
8.08814,16,48000000,0
8.15063,6,40000000,0
8.30211,11,40000000,0
8.32055,7,56000000,0
8.32754,15,24000000,0
8.33917,9,48000000,0
8.36048,21,80000000,0
8.48078,18,64000000,0
8.51933,8,72000000,0
8.52324,11,40000000,0
8.53648,16,56000000,0
8.8323,15,24000000,0
8.85285,16,56000000,0
9.07086,13,40000000,0
9.23877,24,40000000,0
9.30647,22,48000000,0
9.51523,22,56000000,0
9.52205,18,80000000,0
9.56987,8,80000000,0
9.64131,21,88000000,0
9.65608,15,40000000,0
9.71732,14,40000000,0
9.73842,15,40000000,0
9.92527,11,48000000,0
9.98327,17,40000000,0
10.0041,5,56000000,0
10.0107,22,56000000,0
10.0769,9,56000000,0
10.0862,18,80000000,0
10.2907,5,56000000,0
10.3139,21,104000000,0
10.5523,7,64000000,0
10.5564,21,104000000,0
10.6693,15,56000000,0
10.8761,20,40000000,0
10.8774,24,48000000,0
10.8787,9,72000000,0
10.9037,16,64000000,0
11.0723,15,56000000,0
11.1605,20,40000000,0
11.2222,17,48000000,0
11.2272,14,48000000,0
11.2803,22,64000000,0
11.3543,9,72000000,0
11.6173,5,64000000,0
11.6439,19,80000000,0
11.7396,19,80000000,0
12.1158,20,48000000,0
12.1989,18,88000000,0
12.4209,17,64000000,0
12.4435,7,72000000,0
12.4695,21,112000000,0
12.5786,14,56000000,0
12.9882,9,80000000,0
13.0066,11,64000000,0
13.0786,17,64000000,0
13.0816,18,96000000,0
13.1474,23,40000000,0
13.1827,11,64000000,0
13.3657,5,72000000,0
13.4733,7,104000000,0
13.507,10,40000000,0
13.5282,7,104000000,0
13.5831,7,112000000,0
13.685,19,96000000,0
13.76,6,48000000,0
13.8359,19,96000000,0
13.8407,7,112000000,0
13.9762,14,64000000,0
14.0747,23,48000000,0
14.2398,13,48000000,0
14.2488,7,112000000,0
14.3131,18,112000000,0
14.3191,16,72000000,0
14.4135,18,112000000,0
14.5752,21,120000000,0
14.732,14,80000000,0
14.9612,20,56000000,0
14.9669,5,80000000,0
15.0215,11,72000000,0
15.0234,23,56000000,0
15.1125,14,80000000,0
15.1151,18,120000000,0
15.2063,13,56000000,0
15.3737,15,64000000,0
15.419,10,56000000,0
15.6916,22,72000000,0
15.8301,7,120000000,0
15.8491,10,56000000,0
16.1006,20,64000000,0
16.227,17,72000000,0
16.2309,15,80000000,0
16.248,13,64000000,0
16.5013,8,88000000,0
16.7511,15,80000000,0
16.779,19,104000000,0
17.1908,13,72000000,0
17.2021,14,88000000,0
17.2296,7,136000000,0
17.3183,7,136000000,0
17.6114,11,80000000,0
17.6561,24,56000000,0
17.7183,16,80000000,0
17.8366,6,56000000,0
17.8457,5,88000000,0
18.1203,21,128000000,0
18.1471,17,80000000,0
18.1712,10,64000000,0
18.3027,19,112000000,0
18.3666,8,96000000,0
18.5412,23,64000000,0
18.727,9,88000000,0
18.8379,15,96000000,0
19.0185,15,96000000,0
19.0445,8,112000000,0
19.0759,12,40000000,0
19.0999,8,112000000,0
19.1355,24,64000000,0
