time_s,ue_id,cpu_j,radio_j,total_j
0.818591,10,0.920387,1.28,2.20039
0.823514,6,0.927771,1.28,2.20777
0.830309,16,0.937963,1.28,2.21796
0.832873,23,0.941809,1.28,2.22181
0.841113,20,0.954169,1.28,2.23417
0.843996,7,2.93025,3.84,6.77025
0.844746,18,0.959619,1.28,2.23962
0.86922,14,0.996329,1.28,2.27633
0.870723,8,0.998585,1.28,2.27858
0.871705,5,1.00006,1.28,2.28006
0.881583,17,1.01487,1.28,2.29487
0.890899,11,1.02885,1.28,2.30885
0.895288,13,1.03543,1.28,2.31543
0.901174,9,1.04426,1.28,2.32426
0.904276,22,1.04891,1.28,2.32891
0.908315,19,1.05497,1.28,2.33497
0.911023,15,1.05903,1.28,2.33903
0.914482,21,2.11451,2.56,4.67451
0.923062,24,1.07709,1.28,2.35709
0.934543,12,2.00318,2.56,4.56318
1.05384,21,2.11451,2.56,4.67451
1.34722,7,3.99573,5.12,9.11573
1.43753,12,2.00318,2.56,4.56318
1.47765,7,3.99573,5.12,9.11573
1.65931,13,2.13344,2.56,4.69344
1.72602,24,2.09417,2.56,4.65417
1.72814,7,3.99573,5.12,9.11573
1.8597,22,1.95682,2.56,4.51682
2.07369,5,2.84324,3.84,6.68324
2.16892,9,2.01793,2.56,4.57793
2.348,10,1.83028,2.56,4.39028
2.50088,6,2.0142,2.56,4.5742
2.57064,13,3.08964,3.84,6.92964
2.61748,7,4.95556,6.4,11.3556
2.64449,5,2.84324,3.84,6.68324
2.64917,23,2.02881,2.56,4.58881
2.73541,19,2.06259,2.56,4.62259
2.74238,18,2.90382,3.84,6.74382
2.91925,18,2.90382,3.84,6.74382
3.01418,21,3.04513,3.84,6.88513
3.02343,14,1.93068,2.56,4.49068
3.46268,19,4.07318,5.12,9.19318
3.57071,7,6.00638,7.68,13.6864
3.63974,8,1.90918,2.56,4.46918
3.72684,20,1.98081,2.56,4.54081
3.7681,23,2.9843,3.84,6.8243
3.85041,18,5.02503,6.4,11.425
3.9308,21,4.13379,5.12,9.25379
3.93214,13,4.13324,5.12,9.25324
3.96285,11,2.11551,2.56,4.67551
3.99971,19,4.07318,5.12,9.19318
4.09964,10,3.90369,5.12,9.02369
4.18543,16,1.94078,2.56,4.50078
4.4821,6,2.94945,3.84,6.78945
4.49689,18,5.02503,6.4,11.425
4.70482,10,3.90369,5.12,9.02369
4.76335,19,7.09954,8.96,16.0595
4.77019,8,5.01517,6.4,11.4152
4.82024,8,5.01517,6.4,11.4152
4.84242,17,1.9781,2.56,4.5381
4.85325,22,3.03864,3.84,6.87864
4.87852,24,3.04073,3.84,6.88073
4.93844,21,7.08168,8.96,16.0417
4.99328,8,5.01517,6.4,11.4152
5.03877,5,3.78973,5.12,8.90973
5.10436,12,3.03935,3.84,6.87935
5.13368,19,7.09954,8.96,16.0595
5.21078,9,2.96684,3.84,6.80684
5.23992,14,2.90792,3.84,6.74792
5.28524,19,7.09954,8.96,16.0595
5.38371,21,7.08168,8.96,16.0417
5.41412,23,4.02523,5.12,9.14523
5.44255,21,7.08168,8.96,16.0417
5.97868,20,2.98367,3.84,6.82367
6.0044,8,7.94437,10.24,18.1844
6.20752,21,8.94639,11.52,20.4664
6.24405,14,3.95601,5.12,9.07601
6.25361,8,7.94437,10.24,18.1844
6.32638,18,6.99831,8.96,15.9583
6.36423,21,8.94639,11.52,20.4664
6.43304,5,4.74348,6.4,11.1435
6.46957,18,6.99831,8.96,15.9583
6.55817,8,7.94437,10.24,18.1844
6.58965,9,3.9853,5.12,9.1053
6.6036,17,2.9365,3.84,6.7765
6.66443,22,4.06594,5.12,9.18594
6.73715,16,2.91399,3.84,6.75399
6.90552,19,8.03998,10.24,18.28
