time_s,ue_id,cpu_j,radio_j,total_j
10.1976,24,0,6.21899,6.21899
11.1061,8,0.914064,12.4819,13.396
11.1353,12,0.958379,8.22114,9.17952
11.1671,7,1.01096,12.7313,13.7422
11.1694,10,1.01546,7.08781,8.10327
11.1799,18,2.01431,8.16901,10.1833
11.1905,17,2.04484,13.5696,15.6145
11.1953,22,1.97706,10.7798,12.7569
11.2059,17,2.04484,13.5696,15.6145
11.2135,13,1.08169,9.41149,10.4932
11.2142,17,2.04484,13.5696,15.6145
11.3699,18,2.01431,8.16901,10.1833
11.5766,22,1.97706,10.7798,12.7569
11.7265,24,0.99155,6.85899,7.85054
11.8342,15,0,8.52693,8.52693
12.1222,9,0,6.07574,6.07574
12.1669,6,0.985961,14.0356,15.0215
12.2963,8,1.97029,13.1219,15.0922
12.4235,21,1.04848,10.3437,11.3922
12.4329,7,2.00627,13.3713,15.3775
12.5174,12,1.98724,8.86114,10.8484
12.5411,10,3.17215,8.36781,11.54
12.5706,15,1.92453,9.80693,11.7315
12.6883,14,1.00083,6.11841,7.11925
12.8848,16,1.07648,13.9799,15.0563
12.9426,15,1.92453,9.80693,11.7315
13.0518,10,3.17215,8.36781,11.54
13.1126,14,1.00083,6.11841,7.11925
13.126,11,1.99039,9.84326,11.8336
13.1471,7,2.00627,13.3713,15.3775
13.1946,13,1.08169,9.41149,10.4932
13.1999,13,1.08169,9.41149,10.4932
13.2334,11,1.99039,9.84326,11.8336
13.2845,5,0,15.8801,15.8801
13.4052,6,2.04589,14.6756,16.7214
13.41,18,3.06504,8.80901,11.8741
13.458,21,2.00078,10.9837,12.9845
13.4745,12,4.74734,10.7811,15.5285
13.4914,11,1.99039,9.84326,11.8336
13.5089,24,2.03611,7.49899,9.5351
13.6808,7,2.00627,13.3713,15.3775
13.8158,12,4.74734,10.7811,15.5285
13.8486,12,4.74734,10.7811,15.5285
14.0315,19,1.09933,17.7488,18.8481
14.0642,23,0.908464,10.8645,11.7729
14.1766,9,1.00316,6.71574,7.7189
14.1771,11,2.98912,10.4833,13.4724
14.2711,20,0.948345,15.4199,16.3682
14.3595,21,3.00174,11.6237,14.6254
14.5848,14,2.07242,6.75841,8.83083
14.869,21,3.00174,11.6237,14.6254
14.9049,22,2.94327,11.4198,14.3631
15.0379,22,2.94327,11.4198,14.3631
15.0692,15,2.88831,10.4469,13.3352
15.1284,23,1.88292,11.5045,13.3874
15.1486,19,1.09933,17.7488,18.8481
15.1772,24,2.96299,8.13899,11.102
15.2513,6,2.04589,14.6756,16.7214
15.2723,19,1.09933,17.7488,18.8481
15.276,20,1.93503,16.0599,17.9949
15.2819,16,1.07648,13.9799,15.0563
15.4304,22,2.94327,11.4198,14.3631
15.4896,5,1.99988,17.1601,19.1599
15.5304,10,5.22324,9.64781,14.8711
15.5917,13,2.17568,10.0515,12.2272
15.6158,10,5.22324,9.64781,14.8711
15.6301,5,1.99988,17.1601,19.1599
15.6315,7,3.08224,14.0113,17.0935
15.8088,21,3.92596,12.2637,16.1897
15.8389,10,5.22324,9.64781,14.8711
15.8525,15,3.91624,11.0869,15.0032
15.9304,14,3.05391,7.39841,10.4523
15.9999,12,5.74545,11.4211,17.1666
16.0074,20,1.93503,16.0599,17.9949
16.0177,5,2.92413,17.8001,20.7242
16.0249,11,2.98912,10.4833,13.4724
16.0838,16,3.20664,15.2599,18.4665
16.1392,16,3.20664,15.2599,18.4665
16.1575,8,3.06593,13.7619,16.8278
16.1938,17,3.11614,14.2096,17.3258
16.2328,9,1.00316,6.71574,7.7189
16.2822,16,3.20664,15.2599,18.4665
16.3477,7,3.08224,14.0113,17.0935
16.4404,5,2.92413,17.8001,20.7242
16.5314,11,2.98912,10.4833,13.4724
16.5877,17,3.11614,14.2096,17.3258
16.6331,10,6.16781,10.2878,16.4556
16.7884,23,1.88292,11.5045,13.3874
16.8676,18,4.11894,9.44901,13.5679
17.0615,19,3.10694,19.0288,22.1357
17.1186,20,2.92374,16.6999,19.6236
17.1861,24,4.94058,9.41899,14.3596
17.2,21,5.96205,13.5437,19.5057
17.2075,18,4.11894,9.44901,13.5679
17.2292,14,3.99543,8.03841,12.0338
17.2375,24,4.94058,9.41899,14.3596
17.271,19,3.10694,19.0288,22.1357
17.3441,8,4.09516,14.4019,18.497
17.4636,21,5.96205,13.5437,19.5057
17.599,21,5.96205,13.5437,19.5057
17.6167,15,4.91839,11.7269,16.6453
17.648,12,5.74545,11.4211,17.1666
17.6746,23,2.88515,12.1445,15.0296
17.7758,13,4.29657,11.3315,15.6281
17.8707,14,3.99543,8.03841,12.0338
17.9045,19,3.10694,19.0288,22.1357
17.9144,8,5.0969,15.0419,20.1388
17.9349,17,6.20075,16.1296,22.3304
17.9402,17,6.20075,16.1296,22.3304
17.9811,13,4.29657,11.3315,15.6281
17.9984,6,2.04589,14.6756,16.7214
18.0087,22,3.85883,12.0598,15.9186
18.0278,17,6.20075,16.1296,22.3304
18.1969,17,6.20075,16.1296,22.3304
18.2273,8,5.0969,15.0419,20.1388
18.6423,7,4.16369,14.6513,18.815
18.6818,16,4.27053,15.8999,20.1704
18.8512,23,2.88515,12.1445,15.0296
18.9571,17,6.20075,16.1296,22.3304
19.0478,8,7.15462,16.3219,23.4765
19.2455,19,4.01402,19.6688,23.6828
19.3249,21,6.92998,14.1837,21.1137
19.419,5,3.86282,18.4401,22.3029
19.5358,13,6.18628,12.6115,18.7978
19.5747,16,5.34202,16.5399,21.8819
19.5893,10,7.14037,10.9278,18.0682
19.5925,8,7.15462,16.3219,23.4765
