time_s,ue_id,cpu_j,radio_j,total_j
0.818591,10,0.920387,0.128,1.04839
0.823514,6,0.927771,0.128,1.05577
0.830309,16,0.937963,0.128,1.06596
0.832873,23,0.941809,0.128,1.06981
0.841113,20,0.954169,0.128,1.08217
0.843996,7,2.93025,0.384,3.31425
0.844746,18,0.959619,0.128,1.08762
0.86922,14,0.996329,0.128,1.12433
0.870723,8,0.998585,0.128,1.12658
0.871705,5,1.00006,0.128,1.12806
0.881583,17,1.01487,0.128,1.14287
0.890899,11,1.02885,0.128,1.15685
0.895288,13,1.03543,0.128,1.16343
0.901174,9,1.04426,0.128,1.17226
0.904276,22,1.04891,0.128,1.17691
0.908315,19,1.05497,0.128,1.18297
0.911023,15,1.05903,0.128,1.18703
0.914482,21,2.11451,0.256,2.37051
0.923062,24,1.07709,0.128,1.20509
0.934543,12,2.00318,0.256,2.25918
1.05384,21,2.11451,0.256,2.37051
1.34722,7,3.99573,0.512,4.50773
1.43753,12,2.00318,0.256,2.25918
1.47765,7,3.99573,0.512,4.50773
1.65931,13,2.13344,0.256,2.38944
1.72602,24,2.09417,0.256,2.35017
1.72814,7,3.99573,0.512,4.50773
1.8597,22,1.95682,0.256,2.21282
2.07369,5,2.84324,0.384,3.22724
2.16892,9,2.01793,0.256,2.27393
2.348,10,1.83028,0.256,2.08628
2.50088,6,2.0142,0.256,2.2702
2.57064,13,3.08964,0.384,3.47364
2.61748,7,4.95556,0.64,5.59556
2.64449,5,2.84324,0.384,3.22724
2.64917,23,2.02881,0.256,2.28481
2.73541,19,2.06259,0.256,2.31859
2.74238,18,2.90382,0.384,3.28782
2.91925,18,2.90382,0.384,3.28782
3.01418,21,3.04513,0.384,3.42913
3.02343,14,1.93068,0.256,2.18668
3.46268,19,4.07318,0.512,4.58518
3.57071,7,6.00638,0.768,6.77438
3.63974,8,1.90918,0.256,2.16518
3.72684,20,1.98081,0.256,2.23681
3.7681,23,2.9843,0.384,3.3683
3.85041,18,5.02503,0.64,5.66503
3.9308,21,4.13379,0.512,4.64579
3.93214,13,4.13324,0.512,4.64524
3.96285,11,2.11551,0.256,2.37151
3.99971,19,4.07318,0.512,4.58518
4.09964,10,3.90369,0.512,4.41569
4.18543,16,1.94078,0.256,2.19678
4.4821,6,2.94945,0.384,3.33345
4.49689,18,5.02503,0.64,5.66503
4.70482,10,3.90369,0.512,4.41569
4.76335,19,7.09954,0.896,7.99554
4.77019,8,5.01517,0.64,5.65517
4.82024,8,5.01517,0.64,5.65517
4.84242,17,1.9781,0.256,2.2341
4.85325,22,3.03864,0.384,3.42264
4.87852,24,3.04073,0.384,3.42473
4.93844,21,7.08168,0.896,7.97768
4.99328,8,5.01517,0.64,5.65517
5.03877,5,3.78973,0.512,4.30173
5.10436,12,3.03935,0.384,3.42335
5.13368,19,7.09954,0.896,7.99554
5.21078,9,2.96684,0.384,3.35084
5.23992,14,2.90792,0.384,3.29192
5.28524,19,7.09954,0.896,7.99554
5.38371,21,7.08168,0.896,7.97768
5.41412,23,4.02523,0.512,4.53723
5.44255,21,7.08168,0.896,7.97768
5.97868,20,2.98367,0.384,3.36767
6.0044,8,7.94437,1.024,8.96837
6.20752,21,8.94639,1.152,10.0984
6.24405,14,3.95601,0.512,4.46801
6.25361,8,7.94437,1.024,8.96837
6.32638,18,6.99831,0.896,7.89431
6.36423,21,8.94639,1.152,10.0984
6.43304,5,4.74348,0.64,5.38348
6.46957,18,6.99831,0.896,7.89431
6.55817,8,7.94437,1.024,8.96837
6.58965,9,3.9853,0.512,4.4973
6.6036,17,2.9365,0.384,3.3205
6.66443,22,4.06594,0.512,4.57794
6.73715,16,2.91399,0.384,3.29799
6.90552,19,8.03998,1.024,9.06398
7.03574,6,4.00116,0.512,4.51316
7.41878,17,3.9702,0.512,4.4822
7.45868,16,5.01666,0.64,5.65666
7.69252,9,5.04727,0.64,5.68727
7.7664,11,4.2429,0.512,4.7549
7.8082,24,4.02178,0.512,4.53378
8.08814,16,6.05981,0.768,6.82781
8.15063,6,4.92986,0.64,5.56986
8.30211,11,5.22909,0.64,5.86909
8.32055,7,7.00715,0.896,7.90315
8.32754,15,3.0663,0.384,3.4503
8.33917,9,5.94764,0.768,6.71564
8.36048,21,9.89605,1.28,11.1761
8.48078,18,7.94202,1.024,8.96602
8.51933,8,8.89965,1.152,10.0517
8.52324,11,5.22909,0.64,5.86909
8.53648,16,7.01212,0.896,7.90812
8.8323,15,3.0663,0.384,3.4503
8.85285,16,7.01212,0.896,7.90812
9.07086,13,5.17302,0.64,5.81302
9.23877,24,5.07337,0.64,5.71337
9.30647,22,6.04702,0.768,6.81502
9.51523,22,7.05618,0.896,7.95218
9.52205,18,9.93344,1.28,11.2134
9.56987,8,9.91504,1.28,11.195
9.64131,21,10.9244,1.408,12.3324
9.65608,15,5.19885,0.64,5.83885
9.71732,14,4.89148,0.64,5.53148
9.73842,15,5.19885,0.64,5.83885
9.92527,11,6.32049,0.768,7.08849
9.98327,17,4.97446,0.64,5.61446
10.0041,5,6.9128,0.896,7.8088
10.0107,22,7.05618,0.896,7.95218
