time_s,ue_id,cpu_j,radio_j,total_j
0.810462,9,0.908192,0.128,1.03619
0.812946,12,0.911919,0.128,1.03992
0.814439,7,1.86313,0.256,2.11913
0.81623,10,0.916845,0.128,1.04485
0.821793,13,1.83364,0.256,2.08964
0.835568,8,0.945853,0.128,1.07385
0.840171,6,2.04158,0.256,2.29758
0.858959,21,0.980939,0.128,1.10894
0.867165,22,0.993248,0.128,1.12125
0.870945,14,1.98271,0.256,2.23871
0.874563,24,1.00434,0.128,1.13234
0.882187,20,1.95809,0.256,2.21409
0.886923,15,2.09203,0.256,2.34803
0.907356,14,1.98271,0.256,2.23871
0.907565,19,3.06107,0.384,3.44507
0.914636,5,1.06445,0.128,1.19245
0.915198,23,1.0653,0.128,1.1933
0.921398,18,1.0746,0.128,1.2026
0.923229,11,2.0097,0.256,2.2657
0.93404,17,1.09356,0.128,1.22156
0.93626,16,1.09689,0.128,1.22489
1.12627,19,3.06107,0.384,3.44507
1.13543,11,2.0097,0.256,2.2657
1.15439,20,1.95809,0.256,2.21409
1.18766,19,3.06107,0.384,3.44507
1.25342,7,1.86313,0.256,2.11913
1.37241,13,2.85536,0.384,3.23936
1.40404,15,3.15845,0.384,3.54245
1.47112,6,2.04158,0.256,2.29758
1.5485,12,1.90931,0.256,2.16531
1.76128,22,2.08784,0.256,2.34384
1.96789,13,2.85536,0.384,3.23936
1.99291,15,3.15845,0.384,3.54245
2.21963,23,2.15579,0.256,2.41179
2.38687,17,2.09302,0.256,2.34902
2.42994,7,3.83035,0.512,4.34235
2.57124,18,1.99815,0.256,2.25415
2.57745,8,1.94832,0.256,2.20432
2.61927,24,2.03293,0.256,2.28893
2.70367,13,4.71384,0.64,5.35384
2.84268,13,4.71384,0.64,5.35384
2.86293,20,3.01647,0.384,3.40047
2.87851,11,3.0696,0.384,3.4536
2.88603,10,2.83379,0.384,3.21779
2.99201,7,3.83035,0.512,4.34235
3.03762,17,3.04976,0.384,3.43376
3.03903,14,3.98544,0.512,4.49744
3.10529,10,2.83379,0.384,3.21779
3.2108,15,5.21804,0.64,5.85804
3.43109,5,3.10519,0.384,3.48919
3.46994,15,5.21804,0.64,5.85804
3.5485,14,5.07504,0.64,5.71504
3.68473,6,3.03054,0.384,3.41454
3.76867,17,5.00377,0.64,5.64377
3.80033,17,5.00377,0.64,5.64377
3.83105,5,3.10519,0.384,3.48919
3.8731,14,5.07504,0.64,5.71504
4.21451,15,6.22526,0.768,6.99326
4.5036,23,3.21831,0.384,3.60231
4.51891,19,5.05572,0.64,5.69572
4.54296,11,4.08277,0.512,4.59477
4.54905,13,5.70791,0.768,6.47591
4.58385,17,7.09278,0.896,7.98878
4.6595,14,6.10427,0.768,6.87227
4.73699,20,4.05543,0.512,4.56743
4.92818,24,2.96927,0.384,3.35327
4.94715,17,7.09278,0.896,7.98878
