time_s,task_id,ue_id,latency_ms,offloaded
0.810462,1,9,605.462,0
0.812946,1,12,607.946,0
0.814439,1,7,609.439,0
0.81623,1,10,611.23,0
0.821793,1,13,616.793,0
0.835568,1,8,630.568,0
0.840171,1,6,635.171,0
0.858959,1,21,653.959,0
0.867165,1,22,662.165,0
0.870945,2,14,619.451,0
0.874563,1,24,669.563,0
0.882187,1,20,677.187,0
0.886923,1,15,681.923,0
0.907356,1,14,702.356,0
0.907565,1,19,702.565,0
0.914636,1,5,709.636,0
0.915198,1,23,710.198,0
0.921398,1,18,716.398,0
0.923229,1,11,718.229,0
0.93404,1,17,729.04,0
0.93626,1,16,731.26,0
1.12627,3,19,632.813,0
1.13543,2,11,621.572,0
1.15439,2,20,628.205,0
1.18766,2,19,705.338,0
1.25342,2,7,632.651,0
1.37241,2,13,605.636,0
1.40404,2,15,712.763,0
1.47112,2,6,725.884,0
1.5485,2,12,664.928,0
1.76128,2,22,729.728,0
1.96789,3,13,681.144,0
1.99291,3,15,710.945,0
2.21963,2,23,726.993,0
2.38687,2,17,666.305,0
2.42994,3,7,674.118,0
2.57124,2,18,615.702,0
2.57745,2,8,668.313,0
2.61927,2,24,685.726,0
2.70367,4,13,613.693,0
2.84268,5,13,625.297,0
2.86293,3,20,705.587,0
2.87851,3,11,706.597,0
2.88603,2,10,628.845,0
2.99201,4,7,637.358,0
3.03762,3,17,637.826,0
3.03903,3,14,617.465,0
3.10529,3,10,649.117,0
3.2108,4,15,723.918,0
3.43109,2,5,632.876,0
3.46994,5,15,649.144,0
3.5485,4,14,717.69,0
3.68473,3,6,659.308,0
3.76867,4,17,689.598,0
3.80033,5,17,613.078,0
3.83105,3,5,727.617,0
3.8731,5,14,726.395,0
4.21451,6,15,671.476,0
4.5036,3,23,708.35,0
4.51891,4,19,664.066,0
4.54296,4,11,675.449,0
4.54905,6,13,662.714,0
4.58385,6,17,708.783,0
4.6595,6,14,686.156,0
4.73699,4,20,692.644,0
4.92818,3,24,624.228,0
4.94715,7,17,683.887,0
4.94889,4,10,722.764,0
4.96384,2,16,686.461,0
4.97727,5,7,707.279,0
5.03063,3,22,726.398,0
5.07916,5,19,665.696,0
5.13683,3,18,694.405,0
5.24521,5,11,701.614,0
5.83437,6,11,630.82,0
6.01148,4,5,614.58,0
6.06588,7,11,637.66,0
6.09553,5,10,618.627,0
6.26423,6,7,675.414,0
6.40924,5,20,700.862,0
6.41196,4,18,727.632,0
6.51662,6,10,688.332,0
6.56635,4,22,658.075,0
6.67382,5,5,695.412,0
6.75376,5,22,688.862,0
6.79944,7,7,682.455,0
6.81158,8,7,639.538,0
6.8308,4,6,648.566,0
6.89175,9,7,637.454,0
6.98736,7,13,687.101,0
7.15464,7,14,636.719,0
7.17245,4,23,618.003,0
7.18887,3,12,675.381,0
7.21338,5,18,699.484,0
7.27969,6,20,702.066,0
7.31276,4,12,656.71,0
7.44723,6,22,712.292,0
7.5984,8,11,613.147,0
7.61411,7,22,670.253,0
7.67494,5,23,606.843,0
7.69528,8,14,644.65,0
7.87504,7,10,638.385,0
7.95837,6,5,654.513,0
8.08649,5,6,665.55,0
8.17587,5,12,636.732,0
8.26751,6,6,615.484,0
8.30348,7,5,723.69,0
8.46959,3,16,609.598,0
8.50507,7,6,641.673,0
8.53803,9,11,631.725,0
8.68561,6,23,698.579,0
8.89817,2,9,610.502,0
8.95412,3,8,626.303,0
8.9951,10,7,674.504,0
9.05649,8,6,716.766,0
9.26652,4,24,605.855,0
9.37739,6,12,672.46,0
9.41028,3,9,619.303,0
9.48708,4,8,694.602,0
9.55288,8,13,620.829,0
9.58966,10,11,636.356,0
9.64967,6,18,635.024,0
9.66536,8,22,687.224,0
9.80508,8,10,628.884,0
9.88106,4,16,711.146,0
10.042,7,15,670.921,0
10.445,9,14,609.452,0
10.4815,11,11,663.76,0
10.5122,8,5,718.884,0
10.6736,11,7,621.7,0
10.7097,9,5,680.22,0
10.7649,6,19,720.152,0
10.771,8,15,665.828,0
10.8381,12,7,616.323,0
10.9933,9,10,665.215,0
11.1105,13,7,705.559,0
11.1754,5,8,690.778,0
11.1831,4,9,716.976,0
11.4409,7,23,641.536,0
11.5791,10,10,708.984,0
11.6218,2,21,617.218,0
11.6956,3,21,659.784,0
11.712,14,7,679.867,0
12.0499,15,7,674.322,0
12.4401,6,8,666.42,0
12.6089,10,14,645.61,0
12.6538,9,6,698.814,0
12.7322,5,24,648.356,0
12.7835,5,9,611.479,0
12.7991,11,10,693.4,0
12.8946,11,14,685.099,0
12.9189,6,24,699.154,0
12.9819,12,14,612.827,0
13.0339,16,7,732.705,0
13.0684,7,8,694.505,0
13.1066,9,22,696.727,0
13.3005,6,9,667.387,0
13.5423,8,17,654.902,0
13.6517,7,20,607.116,0
13.7099,5,16,708.337,0
13.8218,7,19,622.755,0
13.8335,9,13,613.713,0
13.927,13,14,665.815,0
14.1129,9,15,723.353,0
14.5437,4,21,635.005,0
14.5942,7,9,633.874,0
14.678,10,15,685.376,0
14.6968,12,10,643.765,0
14.7386,10,6,725.104,0
14.8176,17,7,733.311,0
14.9409,18,7,708.246,0
15.1474,11,6,625.322,0
15.2305,7,24,666.27,0
15.3304,12,11,678.56,0
15.348,7,18,617.578,0
15.4831,6,16,650.923,0
15.5804,7,12,613.38,0
15.6225,7,16,635.457,0
15.8221,8,24,679.318,0
16.1101,8,16,684.536,0
16.1409,5,21,640.539,0
16.2525,12,6,655.461,0
16.435,8,8,600.844,0
16.5351,9,8,622.219,0
16.6692,14,14,619.154,0
16.7192,8,12,655.274,0
16.7636,11,15,606.383,0
16.95,10,22,729.406,0
17.016,19,7,630.712,0
17.194,9,24,656.98,0
17.254,8,20,619.694,0
17.3492,8,9,672.452,0
17.4953,13,11,604.433,0
17.6557,15,14,729.91,0
17.9717,10,5,727.178,0
18.011,9,20,724.276,0
18.0547,9,17,674.312,0
18.0778,8,18,666.286,0
18.1295,10,13,722.83,0
18.1922,10,24,628.473,0
18.2463,6,21,715.908,0
18.4146,20,7,604.518,0
18.5231,11,5,726.915,0
18.6508,11,24,660.519,0
18.9227,13,6,676.369,0
19.004,13,10,646.352,0
19.1196,9,16,697.136,0
19.3107,14,10,702.038,0
19.4464,14,11,718.192,0
19.5138,10,20,600.726,0
19.5501,11,13,698.656,0
19.7111,15,10,654.186,0
19.7212,9,18,659.722,0
19.859,10,8,682.426,0
19.9773,16,10,641.055,0
20.004,12,13,614.57,0
20.2068,17,10,653.192,0
20.2081,10,16,614.477,0
20.4435,11,8,645.925,0
20.6083,13,13,727.935,0
20.6427,12,8,636.491,0
20.7324,9,9,658.343,0
20.8791,18,10,662.084,0
20.9468,10,9,679.705,0
20.9971,14,6,615.963,0
21.0031,12,24,643.576,0
21.0146,13,8,660.122,0
21.0415,11,9,672.447,0
21.0496,8,19,650.379,0
21.1669,11,16,614.462,0
21.1708,12,5,671.244,0
21.2103,9,19,632.778,0
21.2177,14,8,624.782,0
21.4617,12,9,717.332,0
21.4901,15,6,696.23,0
21.5149,7,21,641.818,0
21.7862,15,8,713.997,0
21.8222,10,17,678.898,0
21.9985,12,15,680.501,0
22.0995,8,23,646.952,0
22.1478,12,16,696.479,0
22.2048,13,9,623.099,0
22.2995,13,24,633.114,0
22.3503,14,24,642.524,0
22.3585,13,16,657.01,0
22.4616,10,19,705.669,0
22.8723,11,20,683.488,0
23.0677,11,19,729.191,0
23.0864,10,18,666.378,0
23.2349,12,20,606.127,0
23.3616,16,6,709.356,0
23.4424,13,20,619.486,0
23.4953,16,8,727.511,0
23.6534,13,5,694.219,0
23.8078,15,11,616.023,0
23.8478,14,5,649.898,0
23.9039,14,13,652.002,0
23.9414,16,14,611.434,0
24.1297,19,10,644.706,0
24.5241,9,12,703.988,0
24.5833,14,20,638.282,0
24.6436,17,14,635.078,0
24.6947,17,8,697.466,0
24.7458,15,5,660.733,0
24.7753,12,19,628.21,0
24.7958,14,16,664.474,0
24.9688,16,5,667.31,0
24.9839,20,10,601.381,0
25.0725,17,5,716.987,0
25.2123,16,11,640.878,0
25.2861,21,7,718.928,0
25.3298,11,17,604.086,0
25.5594,8,21,623.513,0
25.7596,10,12,697.925,0
25.7727,22,7,689.91,0
25.8224,15,13,653.084,0
25.8848,11,12,603.65,0
25.9121,18,5,693.994,0
25.9574,12,12,630.132,0
25.959,15,24,705.795,0
26.153,21,10,706.439,0
26.2705,11,22,618.458,0
26.3753,12,17,677.793,0
26.5743,23,7,673.472,0
26.6482,16,24,699.278,0
27.0643,13,15,698.238,0
27.2192,17,6,664.702,0
27.342,11,18,681.815,0
27.3865,12,22,650.474,0
27.4512,17,11,665.393,0
27.5806,13,22,687.668,0
27.6623,24,7,726.899,0
27.6641,12,18,724.333,0
27.7536,25,7,609.165,0
27.7653,17,24,722.692,0
27.8577,14,15,697.683,0
