time_s,ue_id,tx_bytes,rx_bytes
0.810462,9,4000000,0
0.812946,12,4000000,0
0.814439,7,8000000,0
0.81623,10,4000000,0
0.821793,13,8000000,0
0.835568,8,4000000,0
0.840171,6,8000000,0
0.858959,21,4000000,0
0.867165,22,4000000,0
0.870945,14,8000000,0
0.874563,24,4000000,0
0.882187,20,8000000,0
0.886923,15,8000000,0
0.907356,14,8000000,0
0.907565,19,12000000,0
0.914636,5,4000000,0
0.915198,23,4000000,0
0.921398,18,4000000,0
0.923229,11,8000000,0
0.93404,17,4000000,0
0.93626,16,4000000,0
1.12627,19,12000000,0
1.13543,11,8000000,0
1.15439,20,8000000,0
1.18766,19,12000000,0
1.25342,7,8000000,0
1.37241,13,12000000,0
1.40404,15,12000000,0
1.47112,6,8000000,0
1.5485,12,8000000,0
1.76128,22,8000000,0
1.96789,13,12000000,0
1.99291,15,12000000,0
2.21963,23,8000000,0
2.38687,17,8000000,0
2.42994,7,16000000,0
2.57124,18,8000000,0
2.57745,8,8000000,0
2.61927,24,8000000,0
2.70367,13,20000000,0
2.84268,13,20000000,0
2.86293,20,12000000,0
2.87851,11,12000000,0
2.88603,10,12000000,0
2.99201,7,16000000,0
3.03762,17,12000000,0
3.03903,14,16000000,0
3.10529,10,12000000,0
3.2108,15,20000000,0
3.43109,5,12000000,0
3.46994,15,20000000,0
3.5485,14,20000000,0
3.68473,6,12000000,0
3.76867,17,20000000,0
3.80033,17,20000000,0
3.83105,5,12000000,0
3.8731,14,20000000,0
4.21451,15,24000000,0
4.5036,23,12000000,0
4.51891,19,20000000,0
4.54296,11,16000000,0
4.54905,13,24000000,0
4.58385,17,28000000,0
4.6595,14,24000000,0
4.73699,20,16000000,0
4.92818,24,12000000,0
4.94715,17,28000000,0
4.94889,10,16000000,0
4.96384,16,8000000,0
4.97727,7,20000000,0
5.03063,22,12000000,0
5.07916,19,20000000,0
5.13683,18,12000000,0
5.24521,11,24000000,0
5.83437,11,28000000,0
6.01148,5,20000000,0
6.06588,11,28000000,0
6.09553,10,24000000,0
6.26423,7,36000000,0
6.40924,20,20000000,0
6.41196,18,16000000,0
6.51662,10,24000000,0
6.56635,22,20000000,0
6.67382,5,20000000,0
6.75376,22,24000000,0
6.79944,7,36000000,0
6.81158,7,36000000,0
6.8308,6,16000000,0
6.89175,7,36000000,0
6.98736,13,28000000,0
7.15464,14,32000000,0
7.17245,23,20000000,0
7.18887,12,16000000,0
7.21338,18,20000000,0
7.27969,20,24000000,0
7.31276,12,16000000,0
7.44723,22,28000000,0
7.5984,11,32000000,0
7.61411,22,28000000,0
7.67494,23,20000000,0
7.69528,14,32000000,0
7.87504,10,28000000,0
7.95837,5,28000000,0
8.08649,6,28000000,0
8.17587,12,20000000,0
8.26751,6,28000000,0
8.30348,5,28000000,0
8.46959,16,12000000,0
8.50507,6,32000000,0
8.53803,11,36000000,0
8.68561,23,24000000,0
8.89817,9,12000000,0
8.95412,8,16000000,0
8.9951,7,40000000,0
9.05649,6,32000000,0
9.26652,24,16000000,0
9.37739,12,24000000,0
9.41028,9,12000000,0
9.48708,8,16000000,0
9.55288,13,32000000,0
9.58966,11,40000000,0
9.64967,18,24000000,0
9.66536,22,32000000,0
9.80508,10,32000000,0
9.88106,16,16000000,0
10.042,15,28000000,0
10.445,14,36000000,0
10.4815,11,44000000,0
10.5122,5,36000000,0
10.6736,7,52000000,0
10.7097,5,36000000,0
10.7649,19,24000000,0
10.771,15,32000000,0
10.8381,7,52000000,0
10.9933,10,40000000,0
11.1105,7,56000000,0
11.1754,8,20000000,0
11.1831,9,16000000,0
11.4409,23,28000000,0
11.5791,10,40000000,0
11.6218,21,12000000,0
11.6956,21,12000000,0
11.712,7,60000000,0
12.0499,7,60000000,0
12.4401,8,28000000,0
12.6089,14,48000000,0
12.6538,6,36000000,0
12.7322,24,24000000,0
12.7835,9,24000000,0
12.7991,10,44000000,0
12.8946,14,48000000,0
12.9189,24,24000000,0
12.9819,14,48000000,0
13.0339,7,64000000,0
13.0684,8,28000000,0
13.1066,22,36000000,0
13.3005,9,24000000,0
13.5423,17,32000000,0
13.6517,20,28000000,0
13.7099,16,20000000,0
13.8218,19,28000000,0
13.8335,13,36000000,0
13.927,14,52000000,0
14.1129,15,40000000,0
14.5437,21,16000000,0
14.5942,9,28000000,0
14.678,15,40000000,0
14.6968,10,48000000,0
14.7386,6,44000000,0
14.8176,7,72000000,0
14.9409,7,72000000,0
15.1474,6,44000000,0
15.2305,24,32000000,0
15.3304,11,48000000,0
15.348,18,28000000,0
15.4831,16,32000000,0
15.5804,12,28000000,0
15.6225,16,32000000,0
15.8221,24,32000000,0
16.1101,16,32000000,0
16.1409,21,20000000,0
16.2525,6,48000000,0
16.435,8,36000000,0
16.5351,8,36000000,0
16.6692,14,56000000,0
16.7192,12,32000000,0
16.7636,15,44000000,0
16.95,22,40000000,0
17.016,7,76000000,0
17.194,24,36000000,0
17.254,20,32000000,0
17.3492,9,32000000,0
17.4953,11,52000000,0
17.6557,14,60000000,0
17.9717,5,44000000,0
18.011,20,36000000,0
18.0547,17,36000000,0
18.0778,18,32000000,0
18.1295,13,40000000,0
18.1922,24,44000000,0
18.2463,21,24000000,0
18.4146,7,80000000,0
18.5231,5,44000000,0
18.6508,24,44000000,0
18.9227,6,52000000,0
19.004,10,56000000,0
19.1196,16,36000000,0
19.3107,10,60000000,0
19.4464,11,56000000,0
19.5138,20,40000000,0
19.5501,13,48000000,0
19.7111,10,68000000,0
19.7212,18,36000000,0
19.859,8,44000000,0
19.9773,10,68000000,0
20.004,13,52000000,0
20.2068,10,68000000,0
20.2081,16,40000000,0
20.4435,8,52000000,0
20.6083,13,52000000,0
20.6427,8,56000000,0
20.7324,9,44000000,0
