time_s,ue_id,cpu_j,radio_j,total_j
0.815874,8,1.88271,1.28,3.16271
0.817046,18,0.918069,0.64,1.55807
0.848173,11,1.96171,1.28,3.24171
0.874192,17,1.00379,0.64,1.64379
0.875353,14,1.90835,1.28,3.18835
0.875772,21,2.03787,1.28,3.31787
0.876348,13,2.1025,1.28,3.3825
0.880635,22,2.01586,1.28,3.29586
0.884913,7,1.01987,0.64,1.65987
0.887015,23,2.09943,1.28,3.37943
0.905309,12,1.05046,0.64,1.69046
0.907771,15,2.02062,1.28,3.30062
0.909216,10,1.05632,0.64,1.69632
0.911577,20,1.05987,0.64,1.69987
0.911736,16,1.0601,0.64,1.7001
0.917952,24,1.06943,0.64,1.70943
0.921552,6,1.07483,0.64,1.71483
0.929084,19,1.08613,0.64,1.72613
0.930654,9,2.14081,1.28,3.42081
0.934476,5,3.06412,1.92,4.98412
0.940683,14,1.90835,1.28,3.18835
0.999416,8,1.88271,1.28,3.16271
1.01846,21,2.03787,1.28,3.31787
1.0789,23,2.09943,1.28,3.37943
1.16628,11,1.96171,1.28,3.24171
1.17423,22,2.01586,1.28,3.29586
1.28976,9,2.14081,1.28,3.42081
1.32035,5,3.06412,1.92,4.98412
1.42272,5,3.06412,1.92,4.98412
1.53332,15,2.02062,1.28,3.30062
1.59692,13,2.1025,1.28,3.3825
2.11943,19,2.07432,1.28,3.35432
2.28024,9,3.06134,1.92,4.98134
2.31635,11,2.86281,1.92,4.78281
2.47388,17,1.9506,1.28,3.2306
2.86178,5,5.06267,3.2,8.26267
3.04768,21,4.15365,2.56,6.71365
3.34029,11,3.89176,2.56,6.45176
3.38391,13,4.8368,3.2,8.0368
3.40268,5,5.06267,3.2,8.26267
3.42488,7,2.03472,1.28,3.31472
3.62377,16,2.0915,1.28,3.3715
3.76769,21,4.15365,2.56,6.71365
3.77186,13,4.8368,3.2,8.0368
3.84579,13,4.8368,3.2,8.0368
4.19458,20,1.9864,1.28,3.2664
4.50144,16,3.13282,1.92,5.05282
4.53199,7,4.02696,2.56,6.58696
4.60677,17,2.89679,1.92,4.81679
4.68498,7,4.02696,2.56,6.58696
4.78653,23,3.11944,1.92,5.03944
5.05331,6,2.13772,1.28,3.41772
5.07059,22,3.01185,1.92,4.93185
5.31759,19,3.0131,1.92,4.9331
5.38429,12,1.97562,1.28,3.25562
5.40452,24,3.96078,2.56,6.52078
5.4255,24,3.96078,2.56,6.52078
5.43945,8,2.84461,1.92,4.76461
5.6379,13,5.89108,3.84,9.73108
5.73257,11,5.85152,3.84,9.69152
5.78211,24,3.96078,2.56,6.52078
5.93235,11,6.78105,4.48,11.2611
6.09909,23,4.21438,2.56,6.77438
